index	return	risk	AAPL	SPY	TSLA	MSFT	M	MCD
60	0.021265	0.043433	0.0	0.579345	0.031645	0.38901	0.0	0.0
61	0.021367	0.044146	0.0	0.5536154463845536	0.03526796473203527	0.4111165888834112	0.0	0.0
62	0.021468	0.044879	0.0	0.5279484720515278	0.039003960996039	0.43304756695243296	0.0	0.0
63	0.021569	0.04563	0.0	0.502282	0.04274	0.454978	0.0	0.0
64	0.02167	0.046399	0.0	0.476615	0.046476	0.476909	0.0	0.0
65	0.021771	0.047186	0.0	0.450948	0.050212	0.49884	0.0	0.0
66	0.021873	0.047988	0.0	0.425281	0.053948	0.520771	0.0	0.0
67	0.021974	0.048806	0.0	0.3996136003863996	0.05768494231505768	0.5427014572985427	0.0	0.0
68	0.022075	0.049638	0.0	0.37394662605337387	0.06142093857906142	0.5646324353675646	0.0	0.0
69	0.022176	0.050484	0.0	0.34828	0.065157	0.586563	0.0	0.0
70	0.022277	0.051344	0.0	0.322613	0.068893	0.608494	0.0	0.0
71	0.022378	0.052216	0.0	0.296946	0.072629	0.630425	0.0	0.0
72	0.02248	0.0531	0.0	0.271279	0.076365	0.652356	0.0	0.0
73	0.022581	0.053995	0.0	0.24561175438824562	0.08010191989808012	0.6742863257136743	0.0	0.0
74	0.022682	0.054901	0.0	0.219945	0.083838	0.696217	0.0	0.0
75	0.022783	0.055817	0.0	0.194278	0.087574	0.718148	0.0	0.0
76	0.022884	0.056743	0.0	0.168611	0.09131	0.740079	0.0	0.0
77	0.022986	0.057678	0.0	0.142944	0.095046	0.76201	0.0	0.0
78	0.023087	0.058623	0.0	0.117277	0.098782	0.783941	0.0	0.0
79	0.023188	0.059575	0.0	0.0916100916100916	0.10251810251810252	0.8058718058718058	0.0	0.0
80	0.023289	0.060536	0.0	0.065943	0.106255	0.827802	0.0	0.0
81	0.02339	0.061504	0.0	0.040276	0.109991	0.849733	0.0	0.0
82	0.023492	0.06248	0.0	0.014609	0.113727	0.871664	0.0	0.0
83	0.023593	0.063559	0.0	0.0	0.137706	0.862294	0.0	0.0
84	0.023694	0.065496	0.0	0.0	0.188429	0.811571	0.0	0.0
85	0.023795	0.068375	0.0	0.0	0.239152	0.760848	0.0	0.0
86	0.023896	0.072082	0.0	0.0	0.289876	0.710124	0.0	0.0
87	0.023997	0.076498	0.0	0.0	0.340599	0.659401	0.0	0.0
88	0.024099	0.081508	0.0	0.0	0.391322	0.608678	0.0	0.0
89	0.0242	0.087009	0.0	0.0	0.442045	0.557955	0.0	0.0
90	0.024301	0.092913	0.0	0.0	0.492768	0.507232	0.0	0.0
91	0.024402	0.09915	0.0	0.0	0.543491	0.456509	0.0	0.0
92	0.024503	0.105659	0.0	0.0	0.594215	0.405785	0.0	0.0
93	0.024605	0.112394	0.0	0.0	0.644938	0.355062	0.0	0.0
94	0.024706	0.119316	0.0	0.0	0.695661	0.304339	0.0	0.0
95	0.024807	0.126395	0.0	0.0	0.746384	0.253616	0.0	0.0
96	0.024908	0.133606	0.0	0.0	0.797107	0.202893	0.0	0.0
97	0.025009	0.140928	0.0	0.0	0.84783	0.15217	0.0	0.0
98	0.025111	0.148345	0.0	0.0	0.898554	0.101446	0.0	0.0
99	0.025212	0.155843	0.0	0.0	0.949277	0.050723	0.0	0.0
100	0.025312903945548	0.16341188562205475	0.0	0.0	1.0	0.0	0.0	0.0
