	AAPL	SPY	TSLA	MSFT	M	MCD
AAPL	0.0036268741637995356	0.0008325692607927734	0.0032553502796462542	0.000389067115925088	0.002521900745016251	0.0005995425227512318
SPY	0.0008325692607927734	0.0012924228880720667	0.0024209735676083356	0.0014877364971604705	0.0022821032067014677	0.0001230185595501014
TSLA	0.0032553502796462542	0.0024209735676083356	0.026703444362555503	0.0022170789025277604	0.004953308646478937	0.001063636417325795
MSFT	0.000389067115925088	0.0014877364971604705	0.0022170789025277604	0.004043903453672757	0.002832361913790035	-0.00036894115929884876
M	0.002521900745016251	0.0022821032067014677	0.004953308646478937	0.002832361913790035	0.012836959310796729	0.0006547733202251899
MCD	0.0005995425227512318	0.0001230185595501014	0.001063636417325795	-0.00036894115929884876	0.0006547733202251899	0.0018185029952502664
